file,time,#nodes,pathlength,horizon,#moves,init_conflicts
benchmark_examples/size5x5/density20/ex1.lp,0.018295758000022033,2,0,5,13,2
benchmark_examples/size5x5/density20/ex10.lp,0.020251830999768572,2,0,5,21,6
benchmark_examples/size5x5/density20/ex2.lp,0.019498125999234617,2,0,5,21,8
benchmark_examples/size5x5/density20/ex3.lp,0.008073246999629191,2,0,4,11,0
benchmark_examples/size5x5/density20/ex4.lp,0.01763727999968978,2,0,4,14,2
benchmark_examples/size5x5/density20/ex5.lp,0.008666216999699827,2,0,6,17,0
benchmark_examples/size5x5/density20/ex6.lp,0.0070042600000306265,2,0,5,16,0
benchmark_examples/size5x5/density20/ex7.lp,0.025100967000980745,2,0,6,20,2
benchmark_examples/size5x5/density20/ex8.lp,0.02538057700076024,2,0,5,14,2
benchmark_examples/size5x5/density20/ex9.lp,0.019877712000379688,2,0,5,16,4
benchmark_examples/size5x5/density25/ex1.lp,0.6554078870012745,22,5,7,24,2
benchmark_examples/size5x5/density25/ex10.lp,0.05911789499987208,4,1,6,22,2
benchmark_examples/size5x5/density25/ex2.lp,0.281458991999898,11,4,6,24,6
benchmark_examples/size5x5/density25/ex3.lp,0.08031735599979584,4,2,5,18,2
benchmark_examples/size5x5/density25/ex4.lp,0.011804200999904424,2,0,5,17,0
benchmark_examples/size5x5/density25/ex5.lp,0.1567710969993641,6,3,7,22,4
benchmark_examples/size5x5/density25/ex6.lp,0.04932957900018664,3,1,7,18,2
benchmark_examples/size5x5/density25/ex7.lp,0.0951591240009293,4,2,5,16,4
benchmark_examples/size5x5/density25/ex8.lp,0.2327173749999929,9,5,6,19,10
benchmark_examples/size5x5/density25/ex9.lp,0.5468816299999162,23,6,6,20,10
benchmark_examples/size5x5/density30/ex1.lp,0.021529657000428415,2,0,5,25,8
benchmark_examples/size5x5/density30/ex10.lp,0.024738034000620246,2,0,4,23,6
benchmark_examples/size5x5/density30/ex2.lp,0.02676755900029093,2,0,6,25,8
benchmark_examples/size5x5/density30/ex3.lp,0.028066221999324625,2,0,6,23,2
benchmark_examples/size5x5/density30/ex4.lp,0.02800253800160135,2,0,4,19,6
benchmark_examples/size5x5/density30/ex5.lp,0.02378287499959697,2,0,6,19,2
benchmark_examples/size5x5/density30/ex6.lp,0.023325974001636496,2,0,5,17,4
benchmark_examples/size5x5/density30/ex7.lp,0.02488641399941116,2,0,5,26,4
benchmark_examples/size5x5/density30/ex8.lp,0.031671230999563704,2,0,7,26,6
benchmark_examples/size5x5/density30/ex9.lp,0.033417243999792845,2,0,4,20,2
benchmark_examples/size5x5/density35/ex1.lp,0.061841333999836934,4,1,6,22,6
benchmark_examples/size5x5/density35/ex10.lp,0.011198919000889873,2,0,4,26,0
benchmark_examples/size5x5/density35/ex2.lp,0.5822102279998944,17,6,6,25,6
benchmark_examples/size5x5/density35/ex3.lp,0.4966844150003453,18,6,6,36,12
benchmark_examples/size5x5/density35/ex4.lp,29.374361580001278,934,10,7,29,8
benchmark_examples/size5x5/density35/ex5.lp,4.019255348001025,147,7,7,35,10
benchmark_examples/size5x5/density35/ex6.lp,2.091273801999705,79,7,7,34,12
benchmark_examples/size5x5/density35/ex7.lp,1.8431902659995103,68,10,6,29,24
benchmark_examples/size5x5/density35/ex8.lp,5.119626215000608,181,13,5,29,4
benchmark_examples/size5x5/density35/ex9.lp,1.3306220120011858,44,7,6,26,10
benchmark_examples/size5x5/density40/ex1.lp,0.03389622800023062,2,0,4,28,8
benchmark_examples/size5x5/density40/ex10.lp,0.02850354300062463,2,0,5,32,8
benchmark_examples/size5x5/density40/ex2.lp,0.026022377000117558,2,0,7,37,16
benchmark_examples/size5x5/density40/ex3.lp,0.02885984900058247,2,0,5,28,10
benchmark_examples/size5x5/density40/ex4.lp,0.02588152499993157,2,0,8,42,12
