file,time,#nodes,pathlength,horizon,#moves,init_conflicts
benchmarkResults/ex/ex2/size5x5/density20/ex1.lp,0.6349053570011165,6,4,5,14,4
benchmarkResults/ex/ex2/size5x5/density20/ex10.lp,0.06730138599232305,2,0,5,17,0
benchmarkResults/ex/ex2/size5x5/density20/ex2.lp,0.952244152998901,6,4,6,23,6
benchmarkResults/ex/ex2/size5x5/density20/ex3.lp,0.3273284679889912,3,1,7,21,2
benchmarkResults/ex/ex2/size5x5/density20/ex4.lp,0.6448828040010994,4,2,7,22,4
benchmarkResults/ex/ex2/size5x5/density20/ex5.lp,0.32942674700461794,3,1,6,15,2
benchmarkResults/ex/ex2/size5x5/density20/ex6.lp,1.610941063001519,8,6,7,24,8
benchmarkResults/ex/ex2/size5x5/density20/ex7.lp,0.7346507949987426,4,2,7,21,4
benchmarkResults/ex/ex2/size5x5/density20/ex8.lp,0.09193774800223764,2,0,6,18,0
benchmarkResults/ex/ex2/size5x5/density20/ex9.lp,0.10811589399236254,2,0,5,13,0
benchmarkResults/ex/ex2/size5x5/density25/ex1.lp,0.35738398200192023,3,1,7,20,4
benchmarkResults/ex/ex2/size5x5/density25/ex10.lp,0.9876929059973918,6,4,7,27,8
benchmarkResults/ex/ex2/size5x5/density25/ex2.lp,0.4405361870012712,4,2,4,19,4
benchmarkResults/ex/ex2/size5x5/density25/ex3.lp,0.29564266800298356,3,1,4,15,2
benchmarkResults/ex/ex2/size5x5/density25/ex4.lp,0.7914698990061879,5,3,7,29,4
benchmarkResults/ex/ex2/size5x5/density25/ex5.lp,0.43880885500402655,3,1,6,21,2
benchmarkResults/ex/ex2/size5x5/density25/ex6.lp,0.31578587800322566,3,1,7,21,2
benchmarkResults/ex/ex2/size5x5/density25/ex7.lp,1.0931976220017532,6,4,7,19,10
benchmarkResults/ex/ex2/size5x5/density25/ex8.lp,1.0632011510024313,5,3,6,22,4
benchmarkResults/ex/ex2/size5x5/density25/ex9.lp,0.24783832700632047,3,1,4,16,4
benchmarkResults/ex/ex2/size5x5/density30/ex1.lp,1.3363681159971748,6,4,7,31,10
benchmarkResults/ex/ex2/size5x5/density30/ex10.lp,0.33424274099525064,3,1,5,23,2
benchmarkResults/ex/ex2/size5x5/density30/ex2.lp,1.1334648449992528,7,5,6,23,6
benchmarkResults/ex/ex2/size5x5/density30/ex3.lp,0.8716379980032798,5,3,8,26,8
benchmarkResults/ex/ex2/size5x5/density30/ex4.lp,0.7943994989909697,5,3,6,23,8
benchmarkResults/ex/ex2/size5x5/density30/ex5.lp,0.4904274250002345,4,2,6,22,2
benchmarkResults/ex/ex2/size5x5/density30/ex6.lp,0.30440687599184457,3,1,4,17,2
benchmarkResults/ex/ex2/size5x5/density30/ex7.lp,1.034233743994264,7,5,5,24,6
benchmarkResults/ex/ex2/size5x5/density30/ex8.lp,0.9752234860061435,6,4,5,16,10
benchmarkResults/ex/ex2/size5x5/density30/ex9.lp,1.6165740750002442,9,6,6,32,8
benchmarkResults/ex/ex2/size5x5/density35/ex1.lp,3.3136230679956498,17,12,8,39,6
benchmarkResults/ex/ex2/size5x5/density35/ex10.lp,1.0762831250031013,5,3,7,22,2
benchmarkResults/ex/ex2/size5x5/density35/ex2.lp,2.3818850310053676,11,8,7,39,6
benchmarkResults/ex/ex2/size5x5/density35/ex3.lp,1.9306651270017028,10,8,7,39,6
benchmarkResults/ex/ex2/size5x5/density35/ex4.lp,1.3358357550023356,7,5,6,28,8
benchmarkResults/ex/ex2/size5x5/density35/ex5.lp,2.2267355939984554,10,7,7,33,6
benchmarkResults/ex/ex2/size5x5/density35/ex6.lp,2.4221347880084068,13,11,7,35,12
benchmarkResults/ex/ex2/size5x5/density35/ex7.lp,2.187989886995638,12,8,7,28,12
benchmarkResults/ex/ex2/size5x5/density35/ex8.lp,2.277073384990217,11,7,6,33,8
benchmarkResults/ex/ex2/size5x5/density35/ex9.lp,2.692302153998753,12,10,7,42,18
benchmarkResults/ex/ex2/size5x5/density40/ex1.lp,5.2655144589953125,26,14,6,44,12
benchmarkResults/ex/ex2/size5x5/density40/ex10.lp,3.5696229729946936,16,11,7,44,12
benchmarkResults/ex/ex2/size5x5/density40/ex2.lp,6.985567702999106,31,22,7,39,22
benchmarkResults/ex/ex2/size5x5/density40/ex3.lp,4.871785680006724,23,17,6,40,20
benchmarkResults/ex/ex2/size5x5/density40/ex4.lp,3.6812484730035067,17,8,7,42,14
benchmarkResults/ex/ex2/size5x5/density40/ex5.lp,9.03103143699991,45,29,7,45,26
benchmarkResults/ex/ex2/size5x5/density40/ex6.lp,2.1838201729988214,13,9,5,31,14
benchmarkResults/ex/ex2/size5x5/density40/ex7.lp,2.4785267209954327,14,11,6,37,10
benchmarkResults/ex/ex2/size5x5/density40/ex8.lp,0.8941749590012478,6,4,5,36,14
benchmarkResults/ex/ex2/size5x5/density40/ex9.lp,1.9780078859912464,11,9,7,40,14
benchmarkResults/ex/ex2/size6x6/density20/ex1.lp,1.1109042439929908,5,3,8,28,2
benchmarkResults/ex/ex2/size6x6/density20/ex10.lp,2.870093282996095,9,7,9,41,8
