file,time,#nodes,pathlength,horizon,#moves
num_robots_benchmark\10robs.lp,3.3992271,26,21,14,59
num_robots_benchmark\11robs.lp,9.0651661,69,46,14,85
num_robots_benchmark\12robs.lp,19.861133600000002,59,43,14,92
num_robots_benchmark\13robs.lp,26.939124999999997,72,41,14,96
num_robots_benchmark\14robs.lp,31.112222799999998,124,71,14,104
num_robots_benchmark\15robs.lp,25.210157500000008,90,56,14,112
num_robots_benchmark\16robs.lp,30.002658700000012,99,62,14,106
num_robots_benchmark\17robs.lp,31.023188299999987,96,60,14,127
num_robots_benchmark\18robs.lp,67.02948549999999,215,110,14,129
num_robots_benchmark\19robs.lp,53.268207399999994,177,108,14,128
num_robots_benchmark\2robs.lp,0.03883469999999534,2,0,5,7
num_robots_benchmark\3robs.lp,0.03773100000000795,2,0,6,14
num_robots_benchmark\4robs.lp,0.034896100000025854,2,0,6,21
num_robots_benchmark\5robs.lp,0.03888939999995955,2,0,6,22
num_robots_benchmark\6robs.lp,0.04235909999999876,2,0,6,28
num_robots_benchmark\7robs.lp,0.048212999999975636,2,0,6,31
num_robots_benchmark\8robs.lp,4.0136430999999675,12,8,14,50
num_robots_benchmark\9robs.lp,4.288099799999998,15,12,14,52
