file,time,#nodes,pathlength,horizon,#moves,init_conflicts
inc_benchmarkResults/ex/ex1/10robs.lp,1.0443927009910112,21,6,8,46,8
inc_benchmarkResults/ex/ex1/11robs.lp,2.8333717639907263,45,12,8,49,12
inc_benchmarkResults/ex/ex1/12robs.lp,13.476744833998964,192,9,8,50,12
inc_benchmarkResults/ex/ex1/13robs.lp,14.56273186900944,218,12,9,59,14
inc_benchmarkResults/ex/ex1/14robs.lp,13.536090458001127,196,19,9,67,18
inc_benchmarkResults/ex/ex1/15robs.lp,37.98385761800455,480,23,9,74,18
inc_benchmarkResults/ex/ex1/16robs.lp,111.01915403100429,1317,21,9,76,22
inc_benchmarkResults/ex/ex1/17robs.lp,138.17568636199576,1616,19,9,78,22
inc_benchmarkResults/ex/ex1/18robs.lp
inc_benchmarkResults/ex/ex1/19robs.lp
inc_benchmarkResults/ex/ex1/2robs.lp,0.011830868999822997,2,0,4,5,0
inc_benchmarkResults/ex/ex1/3robs.lp,0.010239251001621597,2,0,5,10,0
inc_benchmarkResults/ex/ex1/4robs.lp,0.010919595006271265,2,0,5,12,0
inc_benchmarkResults/ex/ex1/5robs.lp,0.012387452996335924,2,0,7,19,0
inc_benchmarkResults/ex/ex1/6robs.lp,0.010683924003387801,2,0,7,26,0
inc_benchmarkResults/ex/ex1/7robs.lp,0.0146940819977317,2,0,7,28,0
inc_benchmarkResults/ex/ex1/8robs.lp,0.27474799899209756,5,3,8,36,4
inc_benchmarkResults/ex/ex1/9robs.lp,0.453131851987564,7,2,8,41,6
