file,time,#nodes,pathlength,horizon,#moves,init_conflicts
inc_benchmarkResults/ex/ex1/10robs.lp,0.3547506280010566,6,4,8,48,8
inc_benchmarkResults/ex/ex1/11robs.lp,0.6737800989940297,11,9,8,51,12
inc_benchmarkResults/ex/ex1/12robs.lp,0.6581556519959122,11,9,8,54,12
inc_benchmarkResults/ex/ex1/13robs.lp,2.22360791900428,28,18,9,67,14
inc_benchmarkResults/ex/ex1/14robs.lp,1.2732515190145932,17,13,9,73,18
inc_benchmarkResults/ex/ex1/15robs.lp,1.819017255998915,21,16,9,80,18
inc_benchmarkResults/ex/ex1/16robs.lp,1.7431330529798288,22,18,9,86,22
inc_benchmarkResults/ex/ex1/17robs.lp,3.2140008930000477,37,25,9,90,22
inc_benchmarkResults/ex/ex1/18robs.lp,4.704495548008708,48,30,9,104,26
inc_benchmarkResults/ex/ex1/19robs.lp,17.46198970300611,147,44,12,113,32
inc_benchmarkResults/ex/ex1/2robs.lp,0.00899838301120326,2,0,4,5,0
inc_benchmarkResults/ex/ex1/3robs.lp,0.009632658009650186,2,0,5,10,0
inc_benchmarkResults/ex/ex1/4robs.lp,0.012033734994474798,2,0,5,12,0
inc_benchmarkResults/ex/ex1/5robs.lp,0.010415589000331238,2,0,7,19,0
inc_benchmarkResults/ex/ex1/6robs.lp,0.01271928902133368,2,0,7,26,0
inc_benchmarkResults/ex/ex1/7robs.lp,0.011482321977382526,2,0,7,28,0
inc_benchmarkResults/ex/ex1/8robs.lp,0.23405490498407744,4,2,8,38,4
inc_benchmarkResults/ex/ex1/9robs.lp,0.2185148980061058,4,2,8,41,6
