file,time,#nodes,pathlength,horizon,#moves,init_conflicts
AndreevMoek/14robs.lp,6.1332824,17,12,9,71,18
AndreevMoek/ex8.lp,8.839042899999999,27,24,10,102,46
Behrens/mix.lp,19.002301199999998,62,48,11,182,122
Behrens/small_room.lp,3.6176924,9,7,16,41,10
GlätzerAkil/mini_maze.lp,0.6151831000000001,4,2,22,52,8
GlätzerAkil/warehouse.lp,0.04949819999999999,2,0,17,60,0
KhatovaCordova/24_merged_plans.lp,105.6082387,57,42,15,247,54
KhatovaCordova/30_merged_plans.lp,43.1340531,29,24,19,309,50
Pan/x6_y11_r32_fo2_cmw1_cx4_cy4_rom2_instance_004.lp
RaatschenSauerbrei/Plan-Sauerbrei-Raatschen-1.lp
RaatschenSauerbrei/Plan-Sauerbrei-Raatschen-2.lp,7.3052218,25,16,12,48,6
